"KHz","ID","Type","Active","LSB","USB","Sec","Fmt","'Name' and Location","SP","ITU","Region","GSQ","Lat","Lon","Pwr","Notes","Heard In","Logs","First Logged","Last Logged"
316,"MAJ","NDB","Y","984","1016","8.39","","Majuro Atoll (Dalap Island)","","MHL","oc","RJ57pb","7.0625","171.292","","Offsets updated on 10/17/2016 Slow ID; Marshall Isl Intl Apt. Tony reports upper offset is +1038","NCL  NFK  NI  NW  PAQ  QD  SA  TA  VI  AZ  BC  CA  CO  IL  OR  TX  WA  HI","1113","2003-06-21","2025-10-26"
316,"OE","NDB","Y","398","399","8.49","ID+7"" gap","Dublin","","IRL","eu","IO63sk","53.4375","-6.4583","","out of service until January 2026","BEL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  HOL  IRL  ITA  LVA  NIR  NOR  POL  RUS  SAR  SCT  SUI  SVN  SWE  WLS  NS","684","1997-11-15","2024-09-29"
316,"RE","NDB","Y","1028","1032","5.76","","Reykjanesskoli","","ISL","eu","HP85sw","65.9375","-22.4583","","","CZE  DEU  DNK  ENG  ESP  FIN  FRA  HOL  IRL  ISL  NIR  NOR  POL  RUS  SCT  SWE  NS","187","2003-10-23","2026-04-27"
316,"TNJ","NDB","Y","1029","1031","8.44","ID+5"" gap","Tounj","","HRV","eu","JN75qg","45.2708","15.375","","","AUT  BEL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  GRC  HNG  HOL  HRV  ITA  LVA  NIR  NOR  POL  RUS  SAR  SCT  SCY  SUI  SVK  SVN  SWE  NS","754","1997-12-14","2026-04-26"
317,"KFR","NDB","Y","1034","1031","8.42","ID+5"" gap","Kufra","","LBY","af","KL14pf","24.2292","23.2917","","","EGY  CYP  CZE  DEU  DNK  ENG  ESP  FIN  FRA  GRC  HNG  HOL  ITA  POL  RUS  SAR  SCT  SCY  SVN  SWE  NS","223","2003-04-15","2026-05-08"
317,"YP","NDB","Y","1008","1009","8.43","","Yap","","FSM","oc","PJ99sl","9.4792","139.542","400","Offsets updated on 10/24/2016 
http://www.ict.fm/civilaviation/yap.html","NFK  NN  QD  SA  TA  CA  HI","33","2015-04-09","2025-08-09"
317,"ZZR","NDB","Y","1032","1002","8.52","DAID","'Trenton (Apt)'  Severn","ON","CAN","na","FN14eb","44.0625","-77.625","50","Formerly 'R'","ENG  HOL  SCT  AZ  BC  CO  FL  IA  IL  IN  KS  MA  MD  ME  MI  MN  MO  NC  NE  NH  NJ  NS  NY  OH  ON  PA  QC  RI  SC  TN  TX  VA  VT  WI","599","2003-05-07","2026-03-13"
318,"#674","DGPS","Y","","","","","Chungjiu","","KOR","as","PM36ux","36.9792","127.708","","DGPS ; Ref ID: 753/754 ; 200 bps","KOR  TWN  FIN  CA","5","2008-08-06","2018-11-23"
318,"BR","NDB","Y","401","400","8.09","ID+5"" gap","Brunei","","BRU","as","OJ74kv","4.8958","114.875","2500","Offsets updated on 10/18/2016","CHN  MLA  SNG  THA  TWN  DEU  FIN  HOL  NOR  RUS  SWE  NFK  NI  NN  NW  QD  SA  TA  VI  WE  AZ  CA  OR  WA  HI","240","2004-01-25","2025-03-29"
318,"KLP","NDB","Y","1025","1030","8.3","ID+4"" gap","Dubrovnik / Kolocep","","HRV","eu","JN92aq","42.6875","18.0417","50","","EGY  CYP  AUT  BAL  BEL  CZE  DEU  DNK  ENG  ESP  FIN  FRA  GRC  HNG  HOL  HRV  ITA  LVA  MNE  NOR  POL  RUS  SAR  SCT  SCY  SRB  SUI  SVK  SVN  SWE  NS","724","1997-01-24","2026-04-25"
